,key,path,found_perm,true_perm,correct,overlap,luv_coords
129,c,../puck/data/images_copy/dark/michaels/short/C/dark_michaels_short_C_3.jpg,efg,efg,True,3,"[array([ 64, 122, 107], dtype=uint8), array([118, 106, 173], dtype=uint8), array([ 13,  99, 123], dtype=uint8)]"
130,c,../puck/data/images_copy/dark/michaels/medium/C/dark_michaels_medium_C_4.jpg,efg,efg,True,3,"[array([ 98, 119, 102], dtype=uint8), array([138, 109, 163], dtype=uint8), array([ 99, 102,  97], dtype=uint8)]"
131,c,../puck/data/images_copy/dark/michaels/medium/C/dark_michaels_medium_C_1.jpg,ehg,efg,False,2,"[array([ 69, 121, 107], dtype=uint8), array([110, 113, 169], dtype=uint8), array([ 18, 100, 119], dtype=uint8)]"
132,c,../puck/data/images_copy/dark/michaels/medium/C/dark_michaels_medium_C_0.jpg,ehg,efg,False,2,"[array([ 71, 121, 105], dtype=uint8), array([106, 109, 170], dtype=uint8), array([ 17,  99, 121], dtype=uint8)]"
133,c,../puck/data/images_copy/dark/michaels/medium/C/dark_michaels_medium_C_2.jpg,efg,efg,True,3,"[array([ 65, 120, 101], dtype=uint8), array([126, 110, 172], dtype=uint8), array([ 61, 106,  96], dtype=uint8)]"
134,c,../puck/data/images_copy/dark/michaels/medium/C/dark_michaels_medium_C_3.jpg,efg,efg,True,3,"[array([112, 121,  97], dtype=uint8), array([149, 109, 167], dtype=uint8), array([106, 103,  99], dtype=uint8)]"
135,c,../puck/data/images_copy/dark/davids/high/C/dark_davids_high_C_4.jpg,ehg,efg,False,2,"[array([ 64, 124, 108], dtype=uint8), array([109, 110, 169], dtype=uint8), array([ 18,  99, 117], dtype=uint8)]"
136,c,../puck/data/images_copy/dark/davids/high/C/dark_davids_high_C_1.jpg,efg,efg,True,3,"[array([ 63, 122, 108], dtype=uint8), array([110, 108, 172], dtype=uint8), array([ 21,  98, 117], dtype=uint8)]"
137,c,../puck/data/images_copy/dark/davids/high/C/dark_davids_high_C_0.jpg,efg,efg,True,3,"[array([ 69, 126, 108], dtype=uint8), array([111, 106, 169], dtype=uint8), array([ 20,  99, 116], dtype=uint8)]"
138,c,../puck/data/images_copy/dark/davids/high/C/dark_davids_high_C_2.jpg,efg,efg,True,3,"[array([ 65, 122, 105], dtype=uint8), array([111, 106, 172], dtype=uint8), array([ 21,  98, 115], dtype=uint8)]"
