,0,1,2,3,4,5
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.4,0.125914459,4,True,True,0.125914459,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.5,0.154704791,4,True,True,0.154704791,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/high/D/custom_jack_cole_high_D_0.jpg.6,0.205530417,4,True,True,0.205530417,"[1.4142135623730951, 2.0, 2.23606797749979, 2.23606797749979]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.0,0.10932175,4,True,True,0.10932175,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.1,0.114345083,4,True,True,0.114345083,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.2,0.118640375,4,True,True,0.118640375,"[1.0, 1.0, 1.4142135623730951, 2.0]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.3,0.125981666,4,True,True,0.125981666,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.4,0.1285465,4,True,True,0.1285465,"[1.0, 1.0, 1.4142135623730951, 2.0]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.5,0.150563917,4,True,True,0.150563917,"[1.0, 1.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/A/custom_jack_cole_medium_A_0.jpg.6,0.217109916,4,True,True,0.217109916,"[1.0, 1.0, 1.4142135623730951, 2.0]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.0,0.108908416,4,True,True,0.108908416,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.1,0.113432833,4,True,True,0.113432833,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.2,0.118512375,4,True,True,0.118512375,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.3,0.128487292,4,True,True,0.128487292,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.4,0.12802025,4,True,True,0.12802025,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.5,0.153660375,4,True,True,0.153660375,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg.6,0.223956458,4,True,True,0.223956458,"[1.0, 1.0, 1.4142135623730951, 1.4142135623730951]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.0,0.109961334,4,True,True,0.109961334,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.1,0.115130875,4,True,True,0.115130875,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.2,0.119100042,4,True,True,0.119100042,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.3,0.124657166,4,True,True,0.124657166,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.4,0.128129208,4,True,True,0.128129208,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.5,0.148662292,4,True,True,0.148662292,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg.6,0.213223208,4,True,True,0.213223208,"[1.0, 1.4142135623730951, 2.8284271247461903, 4.123105625617661]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.0,0.110969791,4,True,True,0.110969791,"[2.0, 2.0, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.1,0.116128375,4,True,True,0.116128375,"[2.0, 2.0, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.2,0.121545541,4,True,True,0.121545541,"[2.0, 2.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.3,0.130410625,4,True,True,0.130410625,"[2.0, 2.0, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.4,0.130942541,4,True,True,0.130942541,"[2.0, 2.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.5,0.15744925,4,True,True,0.15744925,"[2.0, 2.0, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/medium/D/custom_jack_cole_medium_D_0.jpg.6,0.220406083,4,True,True,0.220406083,"[2.0, 2.0, 2.23606797749979, 3.0]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.0,0.112131417,4,True,True,0.112131417,"[1.0, 2.23606797749979, 3.605551275463989, 4.123105625617661]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.1,0.117955083,4,True,True,0.117955083,"[1.0, 2.23606797749979, 3.605551275463989, 4.123105625617661]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.2,0.122609959,4,True,True,0.122609959,"[1.0, 2.23606797749979, 3.1622776601683795, 3.605551275463989]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.3,0.128667458,4,True,True,0.128667458,"[1.0, 2.23606797749979, 3.1622776601683795, 3.605551275463989]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.4,0.131932667,4,True,True,0.131932667,"[1.0, 2.23606797749979, 3.1622776601683795, 3.605551275463989]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.5,0.153333166,4,True,True,0.153333166,"[1.0, 2.23606797749979, 3.1622776601683795, 3.605551275463989]"
images_miniset/custom/jack_cole/short/A/custom_jack_cole_short_A_0.jpg.6,0.231901167,4,True,True,0.231901167,"[1.0, 2.23606797749979, 3.605551275463989, 4.123105625617661]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.0,0.110840875,4,True,True,0.110840875,"[1.0, 1.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.1,0.115891125,4,True,True,0.115891125,"[1.0, 1.0, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg.2,0.120704042,4,True,True,0.120704042,"[1.0, 1.0, 2.0, 2.23606797749979]"
